"","fineff.theta_hat","fineff.theta_ci_low","fineff.theta_ci_high","soc_eff.theta_hat","soc_eff.theta_ci_low","soc_eff.theta_ci_high","finsoc_eff.theta_hat","finsoc_eff.theta_ci_low","finsoc_eff.theta_ci_high"
"1861",0.110021867432931,0.104448523657169,0.109233930748893,0.875,0.874707541849721,0.874914434611591,0.875,0.874647852603754,0.87496121549266
"1862",0.1321499696532,0.127928087597928,0.13121174108302,0.875,0.874582341692719,0.874966531889573,0.875,0.874269841815651,0.874986208950929
"1863",0.116585650434471,0.11285502549212,0.115725143183632,0.875,0.874570951061417,0.874976404226279,0.875,0.874472732095463,0.875017884548358
"1864",0.134852917318837,0.130504795588024,0.133868180961401,0.875,0.874623218990985,0.874928794684339,0.875,0.874232098676658,0.874940578581731
"1865",0.111560205156117,0.107824638620793,0.110925819016392,0.875,0.874669311987023,0.874922824087101,0.875,0.874616430676828,0.874955462883654
"1866",0.117934867203169,0.114337146614611,0.117054923990094,0.875,0.874640209994272,0.874930240510241,0.875,0.874556052858201,0.874972983592085
"1867",0.0902963137494979,0.0861540313151388,0.0898118316707797,0.63595,0.635649451631632,0.635882261352306,0.63595,0.635467331468735,0.635911906532372
"1868",0.0967562426944061,0.0904464394337488,0.0955630941358953,0.63595,0.63561044699039,0.635892184428724,0.63595,0.635008961562511,0.63585433940244
"1869",0.0933146654352704,0.0877909117001629,0.0923411690132447,0.63595,0.635722548104001,0.635870225707537,0.63595,0.635410939016095,0.635946937629282
"1870",0.0877519254099404,0.0843601991253373,0.0871776790557397,0.5668,0.566573911408951,0.566740939250143,0.5668,0.566225983256712,0.566764609498991
"1871",0.0897569369246515,0.0844948213716615,0.0888885009477136,0.58775,0.587512141027724,0.587674258469123,0.58775,0.587051509560388,0.587697884222583
"1872",0.0885422956912509,0.0839435978103687,0.0877645142835504,0.75605,0.755757967605853,0.755955595258462,0.75605,0.755745191179878,0.755978273717928
"1873",0.0914944828834992,0.0880259889235126,0.0909804494405929,0.6437,0.643179406566785,0.643641772180988,0.6437,0.643014516664214,0.643544641627969
"1874",0.0955105837406203,0.0920660551157551,0.0950161054721048,0.6944,0.693996309289815,0.694329006524978,0.6944,0.693877419083629,0.694277560699532
"1875",0.101050583954672,0.0980034689051154,0.100356512321461,0.63595,0.635267207547585,0.63582863097814,0.636091235463631,0.635193743837698,0.635896975447594
"1876",0.0947362325182846,0.0916028530926308,0.0942831197108039,0.63595,0.635320329787247,0.635865929790925,0.63597942996612,0.63516220418338,0.63577977376643
"1877",0.110463570046958,0.106798891617367,0.109927637090682,0.63595,0.63531784254455,0.635864755546507,0.636160005585665,0.634682213080312,0.635893226276113
"1878",0.424347996377556,0.376788129034622,0.450914207437789,0.625069118184902,0.622720178897002,0.626364506418181,0.633197115807823,0.582579075002644,0.649603996181256
"1879",0.297758663126535,0.249366281162665,0.332331378857949,0.57065,0.567137869482908,0.572329195418878,0.573775025446205,0.546748570928522,0.578899188269906
"1880",0.154223979998257,0.122929508518168,0.168130199311811,0.577985137364677,0.57620317222549,0.578292645033894,0.579247500449747,0.573787826767435,0.580779038803192
"1881",0.147393509167296,0.10557437072723,0.160530686486901,0.68035,0.678976869498729,0.680980614528857,0.680982339689605,0.677085405399284,0.681967249276722
